Player Name,Position,Team,Appearances,Minutes Played
Tom Davies,MF,Everton,19,538
Craig Dawson,DF,West Ham,8,720
Craig Dawson,DF,Wolves,17,"1,414"
Kevin De Bruyne,MF,Manchester City,32,"2,417"
Siriki Dembélé,"FW,MF",Bournemouth,6,110
Leander Dendoncker,MF,Aston Villa,20,697
Leander Dendoncker,MF,Wolves,4,214
Emmanuel Dennis,"FW,MF",Nott'ham Forest,19,720
Halil Dervişoğlu,MF,Brentford,1,8
Kiernan Dewsbury-Hall,MF,Leicester City,31,"2,306"
Ibrahima Diallo,MF,Southampton,18,819
Rúben Dias,DF,Manchester City,26,"1,998"
Luis Díaz,FW,Liverpool,17,996
Eric Dier,DF,Tottenham,33,"2,818"
Lucas Digne,DF,Aston Villa,28,"1,502"
Issa Diop,DF,Fulham,25,"2,012"
Moussa Djenepo,"DF,FW",Southampton,16,710
Ben Doak,FW,Liverpool,2,26
Matt Doherty,"DF,MF",Tottenham,12,667
Gabriel Dos Santos,DF,Arsenal,38,"3,409"
Abdoulaye Doucouré,MF,Everton,25,"1,533"
Cheick Doucouré,MF,Crystal Palace,34,"2,769"
Flynn Downes,MF,West Ham,21,762
Kami Doyle,MF,Southampton,1,7
Cody Drameh,DF,Leeds United,1,69
Martin Dúbravka,GK,Newcastle Utd,2,157
Shane Duffy,"DF,FW",Fulham,5,20
Lewis Dunk,DF,Brighton,36,"3,239"
Jhon Durán,"FW,MF",Aston Villa,12,136
Malcolm Ebiowei,"MF,FW",Crystal Palace,3,34
Ederson,GK,Manchester City,35,"3,150"
Odsonne Édouard,FW,Crystal Palace,35,"1,803"
Samuel Edozie,"FW,MF",Southampton,17,567
Anthony Elanga,FW,Manchester Utd,16,426
Harvey Elliott,"MF,FW",Liverpool,32,"1,613"
Mohamed Elneny,MF,Arsenal,5,113
Mohamed Elyounoussi,"MF,FW",Southampton,33,"2,168"
Emerson,DF,Tottenham,26,"1,735"
Christian Eriksen,MF,Manchester Utd,28,"2,048"
Pervis Estupiñán,DF,Brighton,35,"2,675"
Jonny Evans,DF,Leicester City,13,"1,051"
Eberechi Eze,"MF,FW",Crystal Palace,38,"2,636"
Łukasz Fabiański,GK,West Ham,36,"3,111"
Fabinho,MF,Liverpool,36,"2,671"
Wout Faes,DF,Leicester City,31,"2,786"
Felipe,DF,Nott'ham Forest,16,"1,418"
João Félix,"FW,MF",Chelsea,16,941
Evan Ferguson,FW,Brighton,19,950
Bruno Fernandes,"MF,FW",Manchester Utd,37,"3,316"
Enzo Fernández,MF,Chelsea,18,"1,547"
Roberto Firmino,"FW,MF",Liverpool,25,"1,213"
Junior Firpo,DF,Leeds United,19,"1,368"
Phil Foden,FW,Manchester City,32,"1,842"
Datro Fofana,FW,Chelsea,3,70
Wesley Fofana,DF,Leicester City,2,180
Wesley Fofana,DF,Chelsea,15,"1,183"
Pablo Fornals,"FW,MF",West Ham,32,"1,503"
Adam Forshaw,MF,Leeds United,12,479
Fraser Forster,GK,Tottenham,14,"1,215"
Tyrese Francois,FW,Fulham,1,1
Ryan Fraser,FW,Newcastle Utd,8,313
Fred,MF,Manchester Utd,35,"1,249"
Ryan Fredericks,DF,Bournemouth,12,533
Remo Freuler,MF,Nott'ham Forest,28,"2,161"
Cody Gakpo,"FW,MF",Liverpool,21,"1,458"
Conor Gallagher,MF,Chelsea,35,"1,621"
Idrissa Gana Gueye,MF,Everton,33,"2,577"
Alejandro Garnacho,"FW,MF",Manchester Utd,19,569
James Garner,"MF,DF",Everton,16,804
David de Gea,GK,Manchester Utd,38,"3,420"
Joe Gelhardt,FW,Leeds United,15,212
Saman Ghoddos,"MF,FW",Brentford,15,139
Morgan Gibbs-White,"FW,MF",Wolves,2,180
Morgan Gibbs-White,"MF,FW",Nott'ham Forest,35,"2,971"
Billy Gilmour,MF,Brighton,14,507
Degnand Gnonto,"FW,MF",Leeds United,24,"1,354"
Ben Godfrey,DF,Everton,13,802
João Gomes,MF,Wolves,11,653
Toti Gomes,DF,Wolves,17,984
Joe Gomez,DF,Liverpool,21,"1,466"
Sergio Gómez,"DF,MF",Manchester City,12,349
Anthony Gordon,"FW,MF",Newcastle Utd,16,487
Anthony Gordon,FW,Everton,16,"1,095"
Demarai Gray,"FW,MF",Everton,33,"2,507"
Jack Grealish,FW,Manchester City,28,"2,055"
Sam Greenwood,"MF,FW",Leeds United,18,424
Pascal Groß,"MF,DF",Brighton,37,"3,239"
Vicente Guaita,GK,Crystal Palace,27,"2,430"
Gonçalo Guedes,"FW,MF",Wolves,13,707
Marc Guéhi,DF,Crystal Palace,37,"3,329"
Bruno Guimarães,MF,Newcastle Utd,32,"2,726"
İlkay Gündoğan,MF,Manchester City,31,"2,353"
Darko Gyabi,FW,Leeds United,1,8
Erling Haaland,FW,Manchester City,35,"2,769"
Lewis Hall,DF,Chelsea,9,654
Luke Harris,"MF,FW",Fulham,3,13
Jack Harrison,"FW,MF",Leeds United,36,"2,708"
Kai Havertz,"FW,MF",Chelsea,35,"2,569"
Jan Paul van Hecke,DF,Brighton,8,295
Hwang Hee-chan,"FW,MF",Wolves,27,"1,130"
Dean Henderson,GK,Nott'ham Forest,18,"1,620"
Jordan Henderson,MF,Liverpool,35,"2,074"
Wayne Hennessey,GK,Nott'ham Forest,4,271
Rico Henry,DF,Brentford,37,"3,238"
Son Heung-min,"MF,FW",Tottenham,36,"2,888"
Aaron Hickey,DF,Brentford,26,"1,916"
Jack Hinshelwood,FW,Brighton,1,2
Joseph Hodge,MF,Wolves,6,175
Rob Holding,DF,Arsenal,14,566
Mason Holgate,DF,Everton,8,507
Will Hughes,MF,Crystal Palace,27,842
Omari Hutchinson,FW,Chelsea,1,23
Pierre Højbjerg,MF,Tottenham,35,"3,131"
Kelechi Iheanacho,"FW,MF",Leicester City,28,"1,127"
Danny Ings,FW,West Ham,17,775
Danny Ings,FW,Aston Villa,18,824
Alexander Isak,FW,Newcastle Utd,22,"1,522"
Daniel Iversen,GK,Leicester City,12,"1,080"
Alex Iwobi,"MF,FW",Everton,38,"3,378"
Daniel James,FW,Leeds United,4,198
Daniel James,FW,Fulham,20,621
Reece James,"DF,MF",Chelsea,16,"1,244"
Vitaly Janelt,"MF,DF",Brentford,35,"2,208"
Pontus Jansson,DF,Brentford,12,724
Mathias Jensen,MF,Brentford,37,"2,803"
Gabriel Jesus,FW,Arsenal,26,"2,064"
