Player Name,Position,Team,Appearances,Minutes Played
Neco Williams,DF,Nott'ham Forest,31,"1,882"
Willian,FW,Fulham,27,"2,126"
Joe Willock,MF,Newcastle Utd,35,"2,558"
Callum Wilson,FW,Newcastle Utd,31,"1,877"
Harry Wilson,FW,Fulham,29,"1,100"
Yoane Wissa,FW,Brentford,38,"1,606"
Maximilian Wöber,DF,Leeds United,16,"1,266"
Chris Wood,FW,Newcastle Utd,18,446
Chris Wood,FW,Nott'ham Forest,7,372
Joe Worrall,DF,Nott'ham Forest,30,"2,224"
Granit Xhaka,MF,Arsenal,37,"2,993"
Ryan Yates,MF,Nott'ham Forest,26,"1,837"
Ashley Young,DF,Aston Villa,29,"2,036"
Illia Zabarnyi,DF,Bournemouth,5,299
Wilfried Zaha,"FW,MF",Crystal Palace,27,"2,288"
Denis Zakaria,MF,Chelsea,7,411
Jordan Zemura,DF,Bournemouth,19,"1,454"
Oleksandr Zinchenko,DF,Arsenal,27,"2,118"
Hakim Ziyech,"FW,MF",Chelsea,18,661
Kurt Zouma,DF,West Ham,25,"1,989"
Martin Ødegaard,MF,Arsenal,37,"3,127"
