Player Name,Position,Team,Goals,Shots On Target,Goals Per Shot,Assists
Shea Charles,DF,Manchester City,0,0.0,0.0,0
Ben Chilwell,"DF,MF",Chelsea,2,4.0,0.13,2
Ryan Christie,"MF,FW",Bournemouth,1,9.0,0.03,1
Carney Chukwuemeka,"MF,FW",Chelsea,0,1.0,0.0,0
Bobby Clark,MF,Liverpool,0,0.0,0.0,0
Nathaniel Clyne,DF,Crystal Palace,0,0.0,0.0,0
Conor Coady,DF,Everton,1,2.0,0.25,1
Jack Colback,MF,Nott'ham Forest,0,0.0,0.0,0
Séamus Coleman,DF,Everton,1,2.0,0.14,0
Nathan Collins,DF,Wolves,0,0.0,0.0,0
Levi Colwill,DF,Brighton,0,0.0,0.0,2
Lewis Cook,MF,Bournemouth,0,0.0,0.0,2
Steve Cook,DF,Nott'ham Forest,0,0.0,0.0,0
Liam Cooper,DF,Leeds United,1,2.0,0.1,0
Maxwel Cornet,FW,West Ham,0,2.0,0.0,0
Diego Costa,FW,Wolves,1,14.0,0.04,0
Vladimír Coufal,DF,West Ham,0,0.0,0.0,1
Philippe Coutinho,"MF,FW",Aston Villa,1,8.0,0.05,0
Conor Coventry,"MF,FW",West Ham,0,0.0,0.0,0
Matthew Craig,MF,Tottenham,0,0.0,0.0,0
Aaron Cresswell,DF,West Ham,0,1.0,0.0,1
Marc Cucurella,DF,Chelsea,0,0.0,0.0,2
Matheus Cunha,FW,Wolves,2,7.0,0.08,0
Patson Daka,FW,Leicester City,4,16.0,0.13,4
Diogo Dalot,DF,Manchester Utd,1,7.0,0.05,2
Mikkel Damsgaard,"MF,FW",Brentford,0,5.0,0.0,0
Danilo,MF,Nott'ham Forest,3,4.0,0.2,2
Arnaut Danjuma,"FW,MF",Tottenham,1,3.0,0.17,0
Josh Dasilva,MF,Brentford,4,6.0,0.22,2
Ben Davies,DF,Tottenham,2,5.0,0.14,2
Tom Davies,MF,Everton,0,2.0,0.0,0
Craig Dawson,DF,West Ham,0,1.0,0.0,0
Craig Dawson,DF,West Ham,0,1.0,0.0,0
Craig Dawson,DF,West Ham,0,1.0,0.0,0
Craig Dawson,DF,West Ham,0,1.0,0.0,0
Craig Dawson,DF,Wolves,1,2.0,0.09,0
Craig Dawson,DF,Wolves,1,2.0,0.09,0
Craig Dawson,DF,Wolves,1,2.0,0.09,0
Craig Dawson,DF,Wolves,1,2.0,0.09,0
Kevin De Bruyne,MF,Manchester City,7,21.0,0.11,16
Siriki Dembélé,"FW,MF",Bournemouth,0,2.0,0.0,0
Leander Dendoncker,MF,Aston Villa,0,0.0,0.0,0
Leander Dendoncker,MF,Aston Villa,0,0.0,0.0,0
Leander Dendoncker,MF,Aston Villa,0,0.0,0.0,0
Leander Dendoncker,MF,Aston Villa,0,0.0,0.0,0
Leander Dendoncker,MF,Wolves,0,2.0,0.0,0
Leander Dendoncker,MF,Wolves,0,2.0,0.0,0
Leander Dendoncker,MF,Wolves,0,2.0,0.0,0
Leander Dendoncker,MF,Wolves,0,2.0,0.0,0
